Date,Open,High,Low,Close,Adj Close,Volume
2020-06-30,197.8800048828125,204.39999389648438,197.74000549316406,203.50999450683594,199.92587280273438,34310300
2020-07-01,203.13999938964844,206.35000610351562,201.77000427246094,204.6999969482422,201.0949249267578,32061200
2020-07-02,205.67999267578125,208.02000427246094,205.0,206.25999450683594,202.62747192382812,29315800
2020-07-06,208.8300018310547,211.1300048828125,208.08999633789062,210.6999969482422,206.9892578125,31897600
2020-07-07,210.4499969482422,214.6699981689453,207.99000549316406,208.25,204.5823974609375,33600700
2020-07-08,210.07000732421875,213.25999450683594,208.69000244140625,212.8300018310547,209.08175659179688,33600000
2020-07-09,216.3300018310547,216.3800048828125,211.47000122070312,214.32000732421875,210.5455322265625,33121700
2020-07-10,213.6199951171875,214.0800018310547,211.0800018310547,213.6699981689453,209.90696716308594,26177600
2020-07-13,214.47999572753906,215.8000030517578,206.5,207.07000732421875,203.42320251464844,38135600
2020-07-14,206.1300048828125,208.85000610351562,202.02999877929688,208.35000610351562,204.6806640625,37591800
2020-07-15,209.55999755859375,211.3300018310547,205.02999877929688,208.0399932861328,204.37611389160156,32179400
2020-07-16,205.39999389648438,205.6999969482422,202.30999755859375,203.9199981689453,200.3286590576172,29940700
2020-07-17,204.47000122070312,205.0399932861328,201.38999938964844,202.8800048828125,199.3070068359375,31635300
2020-07-20,205.0,212.3000030517578,203.00999450683594,211.60000610351562,207.87342834472656,36884800
2020-07-21,213.66000366210938,213.94000244140625,208.02999877929688,208.75,205.07359313964844,37990400
2020-07-22,209.1999969482422,212.3000030517578,208.38999938964844,211.75,208.02076721191406,49605700
2020-07-23,207.19000244140625,210.9199981689453,202.14999389648438,202.5399932861328,198.97296142578125,67457000
2020-07-24,200.4199981689453,202.86000061035156,197.50999450683594,201.3000030517578,197.75482177734375,39827000
2020-07-27,201.47000122070312,203.97000122070312,200.86000061035156,203.85000610351562,200.25991821289062,30160900
2020-07-28,203.61000061035156,204.6999969482422,201.74000549316406,202.02000427246094,198.462158203125,23251400
2020-07-29,202.5,204.64999389648438,202.00999450683594,204.05999755859375,200.46621704101562,19632600
2020-07-30,201.0,204.4600067138672,199.57000732421875,203.89999389648438,200.3090057373047,25079600
2020-07-31,204.39999389648438,205.10000610351562,199.00999450683594,205.00999450683594,201.39944458007812,51044000
2020-08-03,211.52000427246094,217.63999938964844,210.44000244140625,216.5399932861328,212.7263946533203,78983000
2020-08-04,214.1699981689453,214.77000427246094,210.30999755859375,213.2899932861328,209.53363037109375,49280100
2020-08-05,214.89999389648438,215.0,211.57000732421875,212.94000244140625,209.1898193359375,28806400
2020-08-06,212.33999633789062,216.3699951171875,211.5500030517578,216.35000610351562,212.53976440429688,32656800
2020-08-07,214.85000610351562,215.6999969482422,210.92999267578125,212.47999572753906,208.73793029785156,27820400
2020-08-10,211.6699981689453,211.8800048828125,206.35000610351562,208.25,204.5823974609375,36716500
2020-08-11,207.16000366210938,207.64999389648438,203.13999938964844,203.3800048828125,199.7981719970703,36446500
2020-08-12,205.2899932861328,210.27999877929688,204.75,209.19000244140625,205.505859375,28013100
2020-08-13,209.44000244140625,211.35000610351562,208.14999389648438,208.6999969482422,205.0244903564453,22588900
2020-08-14,208.75999450683594,209.58999633789062,207.50999450683594,208.89999389648438,205.22096252441406,17958900
2020-08-17,209.60000610351562,211.19000244140625,208.9199981689453,210.27999877929688,206.57666015625,20184800
2020-08-18,210.52999877929688,212.36000061035156,209.2100067138672,211.49000549316406,207.765380859375,21336200
2020-08-19,211.49000549316406,212.10000610351562,209.25,209.6999969482422,206.50486755371094,27627600
